step,obs_mean_r,obs_mean_g,obs_mean_b,road_offset,action_steering,action_gas,action_brake,reward,cumulative_reward,terminated
0,118,139,96,0.2389,0.2034,0.7477,0.004,0.5367,0.5367,False
1,111,151,97,0.3235,0.31,0.6917,0.0493,0.3836,0.9203,False
2,115,130,86,0.3343,0.1643,0.797,0.0,0.4985,1.4188,False
3,109,135,91,0.3835,0.2803,0.7127,0.0,0.3747,1.7935,False
4,109,140,91,0.3164,0.2328,0.7382,0.0106,0.3663,2.1598,False
5,113,139,89,0.3313,0.1824,0.7783,0.0,0.5531,2.7129,False
6,103,133,91,0.3409,0.2849,0.7134,0.0013,0.4923,3.2052,False
7,111,142,91,0.3348,0.2959,0.7215,0.0,0.4246,3.6298,False
8,106,144,93,0.2615,0.1787,0.7921,0.0,0.4729,4.1027,False
9,114,136,95,0.4504,0.4611,0.6577,0.0102,0.3381,4.4408,False
10,116,138,92,0.454,0.3213,0.6473,0.0011,0.3522,4.7929,False
11,108,137,91,0.3468,0.2333,0.7409,0.0,0.3977,5.1907,False
12,113,129,98,0.411,0.2797,0.6814,0.0,0.3885,5.5792,False
13,116,134,94,0.4041,0.2542,0.6769,0.0,0.411,5.9902,False
14,116,138,88,0.4144,0.2772,0.6699,0.0059,0.4453,6.4355,False
15,114,140,83,0.3503,0.1767,0.7726,0.0057,0.4923,6.9278,False
16,115,137,83,0.4329,0.3132,0.6945,0.0,0.3298,7.2576,False
17,106,137,92,0.5008,0.3791,0.6575,0.0108,0.3868,7.6444,False
18,108,128,82,0.6048,0.3166,0.6668,0.0,0.3732,8.0176,False
19,107,135,82,0.5018,0.3702,0.6465,0.0,0.4302,8.4477,False
20,106,138,83,0.4928,0.3721,0.678,0.0083,0.4581,8.9058,False
21,110,135,84,0.4648,0.3795,0.5817,0.0,0.3817,9.2875,False
22,112,129,92,0.4638,0.4201,0.6199,0.0,0.3048,9.5923,False
23,114,128,86,0.5437,0.4589,0.6012,0.0,0.4116,10.004,False
24,111,138,80,0.5127,0.3473,0.6891,0.0,0.4167,10.4207,False
25,113,142,88,0.4675,0.3064,0.6274,0.0,0.4373,10.858,False
